Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Category,City,State,Postal Code,Region
1,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Furniture,Henderson,Kentucky,42420,South
2,CA-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Furniture,Henderson,Kentucky,42420,South
3,CA-2017-138688,6/12/2017,6/16/2017,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Office Supplies,Los Angeles,California,90036,West
4,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Furniture,Fort Lauderdale,Florida,33311,South
5,US-2016-108966,10/11/2016,10/18/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Office Supplies,Fort Lauderdale,Florida,33311,South
6,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Furniture,Los Angeles,California,90032,West
7,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Office Supplies,Los Angeles,California,90032,West
8,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Technology,Los Angeles,California,90032,West
9,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Office Supplies,Los Angeles,California,90032,West
10,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Office Supplies,Los Angeles,California,90032,West
11,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Furniture,Los Angeles,California,90032,West
12,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Technology,Los Angeles,California,90032,West
13,CA-2018-114412,4/15/2018,4/20/2018,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Office Supplies,Concord,North Carolina,28027,South
14,CA-2017-161389,12/5/2017,12/10/2017,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Office Supplies,Seattle,Washington,98103,West
15,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Office Supplies,Fort Worth,Texas,76106,Central
16,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Office Supplies,Fort Worth,Texas,76106,Central
17,CA-2015-105893,11/11/2015,11/18/2015,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Office Supplies,Madison,Wisconsin,53711,Central
18,CA-2015-167164,5/13/2015,5/15/2015,Second Class,AG-10270,Alejandro Grove,Consumer,United States,Office Supplies,West Jordan,Utah,84084,West
19,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Office Supplies,San Francisco,California,94109,West
20,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Technology,San Francisco,California,94109,West
21,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Office Supplies,San Francisco,California,94109,West
22,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Office Supplies,Fremont,Nebraska,68025,Central
23,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Office Supplies,Fremont,Nebraska,68025,Central
24,US-2018-156909,7/16/2018,7/18/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Furniture,Philadelphia,Pennsylvania,19140,East
25,CA-2016-106320,9/25/2016,9/30/2016,Standard Class,EB-13870,Emily Burns,Consumer,United States,Furniture,Orem,Utah,84057,West
26,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Office Supplies,Los Angeles,California,90049,West
27,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Technology,Los Angeles,California,90049,West
28,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Furniture,Philadelphia,Pennsylvania,19140,East
